bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
8,2,300,3.6956,66.0978,2023-06-13,88.2800064086914,0,1902454
8,4,300,3.6077,65.7204,2023-07-03,51.939998626708984,0,1902454
8,6,300,3.7788,65.4865,2023-07-23,60.369998931884766,0,1902454
8,9,300,3.3867,65.5641,2023-08-22,87.61000061035156,0,1902454
7,10,260,3.8498,65.7732,2023-09-01,104.5199966430664,0,1902454
6,14,220,3.8344,64.7866,2023-10-11,85.95000457763672,1,1902454
7,15,260,4.0536,64.2203,2023-10-21,114.08999633789062,0,1902454
7,16,260,3.7878,63.6878,2023-10-31,100.4800033569336,0,1902454
6,20,220,3.2686,63.192,2023-12-10,96.20999908447266,0,1902454
6,23,220,3.3717,63.8285,2024-01-09,95.84000396728516,0,1902454
11,23,420,3.3717,63.8285,2024-01-09,95.84000396728516,0,1902454
8,24,300,2.9426,63.2357,2024-01-19,66.06999969482422,0,1902454
8,25,300,2.4554,62.2341,2024-01-29,56.15999984741211,0,1902454
11,29,420,2.237,62.4597,2024-03-09,104.52999877929688,0,1902454
8,30,300,2.3667,61.8815,2024-03-19,94.01000213623047,0,1902454
14,30,540,2.3667,61.8815,2024-03-19,94.01000213623047,0,1902454
6,31,220,2.7275,60.9543,2024-03-29,93.94000244140625,1,1902454
8,32,300,2.9053,60.0211,2024-04-08,93.970001220703125,0,1902454
9,32,340,2.9053,60.0211,2024-04-08,93.970001220703125,0,1902454
9,33,340,3.144,59.1798,2024-04-18,92.470001220703125,0,1902454
8,34,300,3.4918,58.5797,2024-04-28,69.589996337890625,0,1902454
6,35,220,4.1899,58.1554,2024-05-08,62.040000915527344,1,1902454
6,36,220,4.7684,58.3436,2024-05-18,90.11000061035156,0,1902454
7,38,260,4.3988,57.4427,2024-06-07,65.97999572753906,0,1902454
9,38,340,4.3988,57.4427,2024-06-07,65.97999572753906,0,1902454
6,40,220,4.5614,55.9738,2024-06-27,92.160003662109375,1,1902454
6,41,220,4.305,55.6639,2024-07-07,94.220001220703125,1,1902454
6,42,220,3.8712,55.1718,2024-07-17,122.22000122070312,1,1902454
12,42,460,3.8712,55.1718,2024-07-17,122.22000122070312,0,1902454
10,43,380,3.4167,54.6538,2024-07-27,99.850006103515625,0,1902454
13,43,500,3.4167,54.6538,2024-07-27,99.850006103515625,0,1902454
6,2,220,1.6957,65.3084,2023-06-12,52.29999923706055,1,1902455
6,3,220,1.8557,65.3689,2023-06-22,44.310001373291016,1,1902455
6,6,220,1.8733,66.7562,2023-07-22,52.33000183105469,1,1902455
10,7,380,1.3753,67.1556,2023-08-01,72.1500015258789,0,1902455
6,8,220,1.684,67.9138,2023-08-11,50.040000915527344,1,1902455
6,10,220,1.7061,69.0922,2023-08-31,42.13999938964844,1,1902455
7,11,260,2.1408,69.0628,2023-09-10,34.189998626708984,0,1902455
6,17,220,2.636,66.3952,2023-11-08,100.38999938964844,1,1902455
6,21,220,2.6705,65.2809,2023-12-18,84.41999816894531,1,1902455
8,21,300,2.6705,65.2809,2023-12-18,84.41999816894531,0,1902455
6,34,220,3.0393,64.0241,2024-04-26,80.67000579833984,0,1902455
11,36,420,3.401,64.2329,2024-05-16,94.30999755859375,0,1902455
9,37,340,3.4988,65.0413,2024-05-26,78.48999786376953,0,1902455
6,9,220,-25.6472,63.8948,2023-07-27,91.7699966430664,1,1902456
8,1,300,6.9621,68.3801,2023-06-04,78.13999938964844,0,1902457
6,5,220,7.5833,67.6081,2023-07-13,76.05000305175781,1,1902457
6,6,220,7.7321,67.5337,2023-07-23,86.6500015258789,1,1902457
7,7,260,7.7557,67.3783,2023-08-02,108.18000030517578,0,1902457
6,13,220,7.2153,67.4235,2023-10-01,96.1500015258789,0,1902457
6,14,220,7.3343,67.4861,2023-10-11,84.43000030517578,1,1902457
7,19,260,7.3454,66.2713,2023-11-30,104.12999725341797,0,1902457
6,22,220,6.6603,65.7204,2023-12-30,93.910003662109375,1,1902457
8,26,300,6.5327,65.5946,2024-02-08,61.980003356933594,0,1902457
6,30,220,5.8801,66.1269,2024-03-19,100.08000183105469,1,1902457
7,30,260,5.8801,66.1269,2024-03-19,100.08000183105469,0,1902457
6,31,220,6.0073,66.1508,2024-03-29,120.13999938964844,0,1902457
6,32,220,5.9409,66.221,2024-04-08,103.97000122070312,1,1902457
7,33,260,5.7122,66.4389,2024-04-18,90.18999481201172,0,1902457
6,36,220,6.5025,67.1007,2024-05-18,90.06999969482422,1,1902457
7,39,260,6.2758,67.43,2024-06-17,70.4800033569336,0,1902457
6,42,220,6.5839,66.8496,2024-07-17,112.11000061035156,0,1902457
7,42,260,6.5839,66.8496,2024-07-17,112.11000061035156,0,1902457
17,31,660,12.3554,67.052,2024-04-09,26.110000610351562,0,1902458
6,32,220,11.9366,67.2007,2024-04-19,50.02000045776367,1,1902458
16,35,620,11.6652,67.46,2024-05-19,29.649999618530273,0,1902458
8,36,300,11.7931,67.4956,2024-05-29,34.209999084472656,0,1902458
14,13,540,-27.3916,48.158,2023-08-18,79.910003662109375,0,1902459
8,15,300,-26.701,46.1944,2023-09-07,53.80000305175781,1,1902459
10,8,380,-29.4134,0.6195,2024-05-09,72.2300033569336,1,1902490
11,8,420,-29.4134,0.6195,2024-05-09,72.2300033569336,1,1902490
8,1,300,1.3828,-3.0507,2024-02-11,28.049999237060547,1,1902492
8,2,300,1.8657,-3.0649,2024-02-21,32.25,1,1902492
8,3,300,1.8389,-2.8054,2024-03-02,38.2400016784668,1,1902492
8,4,300,1.7537,-3.0662,2024-03-12,35.79999923706055,1,1902492
9,4,340,1.7537,-3.0662,2024-03-12,35.79999923706055,1,1902492
9,6,340,1.4014,-3.5068,2024-04-01,36.099998474121094,0,1902492
8,7,300,1.2164,-3.4005,2024-04-11,41.86000061035156,1,1902492
8,13,300,1.2867,-2.798,2024-06-10,31.80000114440918,1,1902492
8,16,300,1.0638,-4.3383,2024-07-10,31.719999313354492,1,1902492
8,10,300,-31.2891,-0.8749,2024-06-01,91.87000274658203,1,1902493
11,13,420,-31.4716,-1.1144,2024-07-01,101.88999938964844,1,1902493
10,7,380,-46.1194,8.5557,2024-04-15,96.2300033569336,0,1902494
11,9,420,-46.1725,8.6522,2024-04-17,104.02999877929688,0,1902494
11,13,420,-47.486,13.0768,2024-05-28,114.31999969482422,0,1902494
10,14,380,-47.3522,13.2696,2024-06-07,112.16000366210938,0,1902494
9,16,340,-47.0386,14.1025,2024-06-27,132.3800048828125,0,1902494
9,18,340,-46.8632,14.2364,2024-07-17,132.3699951171875,1,1902494
7,2,260,-19.5798,1.2238,2024-03-06,58,1,1902495
8,3,300,-19.5762,1.2605,2024-03-16,50.08000183105469,1,1902495
10,4,380,-19.5066,1.3605,2024-03-26,53.970001220703125,0,1902495
9,5,340,-19.4611,1.4377,2024-04-05,56,0,1902495
13,5,500,-19.4611,1.4377,2024-04-05,56,0,1902495
8,8,300,-19.4512,1.0634,2024-05-05,61.91999816894531,1,1902495
9,11,340,-19.4979,0.5765,2024-06-03,74.089996337890625,0,1902495
10,12,380,-19.4011,0.4008,2024-06-13,73.83000183105469,0,1902495
11,13,420,-19.3635,0.2336,2024-06-23,72.06999969482422,0,1902495
8,14,300,-19.3831,0.1029,2024-07-03,80.089996337890625,1,1902495
12,12,460,-16.2015,-2.7006,2024-06-11,66.05000305175781,0,1902496
7,4,260,-6.8495,-1.3936,2024-03-19,53.9900016784668,1,1902498
7,2,260,-3.3138,-2.8478,2024-02-26,21.799999237060547,1,1902499
14,12,540,-4.0931,-5.4563,2024-06-04,37.77000045776367,0,1902499
8,17,300,-3.9665,-5.3835,2024-07-24,35.90999984741211,1,1902499
10,11,380,-23.5614,-1.0403,2024-06-06,92.1500015258789,1,1902500
11,4,420,-45.1914,118.3714,2024-03-24,111.79000091552734,1,1902643
12,1,460,-20.0563,-74.3458,2023-12-19,76.11000061035156,0,1902644
12,2,460,-20.04,-74.1503,2023-12-29,40.29999923706055,0,1902644
14,2,540,-20.04,-74.1503,2023-12-29,40.29999923706055,0,1902644
12,3,460,-20.2581,-74.0187,2024-01-09,32.349998474121094,0,1902644
13,4,500,-20.5584,-73.862,2024-01-19,30.270000457763672,0,1902644
15,6,580,-20.7874,-73.3398,2024-02-08,30.260000228881836,NA,1902644
15,8,580,-20.6865,-73.3181,2024-02-29,30.1299991607666,0,1902644
13,13,500,-20.1323,-73.1177,2024-04-20,32.27000045776367,NA,1902644
15,14,580,-19.9022,-73.1457,2024-04-30,36.22999954223633,0,1902644
15,18,580,-19.0806,-73.2081,2024-06-11,48.189998626708984,0,1902644
16,18,620,-19.0806,-73.2081,2024-06-11,48.189998626708984,0,1902644
14,22,540,-19.8473,-72.6743,2024-07-22,82.20999908447266,0,1902644
13,2,500,32.6248,178.8839,2023-11-09,61.849998474121094,NA,1902646
11,3,420,32.7703,178.6428,2023-11-20,71.45000457763672,0,1902646
14,3,540,32.7703,178.6428,2023-11-20,71.45000457763672,0,1902646
11,4,420,32.8786,178.5667,2023-11-30,101.92000579833984,0,1902646
11,5,420,32.886,178.838,2023-12-10,86.8699951171875,0,1902646
14,5,540,32.886,178.838,2023-12-10,86.8699951171875,0,1902646
11,6,420,32.8943,179.1114,2023-12-20,96.8499984741211,0,1902646
14,6,540,32.8943,179.1114,2023-12-20,96.8499984741211,0,1902646
11,8,420,32.7816,179.8118,2024-01-10,121.83999633789062,0,1902646
11,10,420,32.7609,-179.8223,2024-01-30,181.52000427246094,0,1902646
11,11,420,32.7365,-179.7927,2024-02-10,160.88999938964844,0,1902646
11,12,420,32.8285,-179.7399,2024-02-20,181.58999633789062,0,1902646
11,13,420,32.9011,-179.7784,2024-03-01,301.32000732421875,0,1902646
13,13,500,32.9011,-179.7784,2024-03-01,301.32000732421875,0,1902646
10,14,380,32.9924,-179.7795,2024-03-12,302.0299987792969,0,1902646
13,14,500,32.9924,-179.7795,2024-03-12,302.0299987792969,0,1902646
14,14,540,32.9924,-179.7795,2024-03-12,302.0299987792969,0,1902646
11,15,420,33.1333,-179.7645,2024-03-22,361.75,0,1902646
13,15,500,33.1333,-179.7645,2024-03-22,361.75,0,1902646
14,15,540,33.1333,-179.7645,2024-03-22,361.75,0,1902646
11,16,420,33.2067,-179.8185,2024-04-01,281.1600036621094,0,1902646
14,16,540,33.2067,-179.8185,2024-04-01,281.1600036621094,0,1902646
