WMO,Cycle,Category,CYCLE_NUMBER,LATITUDE,LONGITUDE,TIME
5904682,111,1,111,-49.921,150.622,2019-04-14
5904682,5,1,5,-48.173,90.697,2016-04-12
5904682,112,1,112,-49.566,150.834,2019-04-25
5904682,115,1,115,-51.5,156.775,2019-05-26
5904682,91,1,91,-49.483,144.996,2018-09-20
5905396,49,1,49,-46.063,145.252,2018-04-19
5905396,36,1,36,-46.4602,141.2791,2018-04-03
5905396,90,0,90,-48.096,145.5519,2018-07-12
5905396,130,0,130,-52.2722,-177.9246,2019-10-16
5904686,6,0,6,-55.984,84.075,2016-04-15
6902547,153,1,153,70.38059833333334,-0.03877333333333333,2016-02-12
6903875,104,0,104,-6.24636,-23.672216666666667,2023-10-09
6903875,124,0,124,-5.7852483333333335,-26.30083,2024-04-26
6903875,105,0,105,-5.902541666666667,-23.981056666666667,2023-10-19
5905102,12,0,12,-69.2494340716478,172.31862674600603,2017-08-08
5905102,117,0,117,-67.494,165.777,2020-06-25
5904683,58,1,58,-52.943,149.688,2017-10-14
5904683,74,1,74,-53.982,172.618,2018-03-28
2903461,6,1,6,-3.5675,-102.1412,2023-07-13
2903461,5,0,5,-3.1685,-102.0437,2023-07-03
2903461,2,0,2,-3.6957,-101.3742,2023-06-03
5904671,59,0,59,-62.58399904819413,81.16964720957094,2017-09-18
5905072,28,1,28,-49.589,90.274,2017-09-04
5905072,52,1,52,-46.69,105.926,2018-04-24
5904476,36,1,36,-47.89,29.18,2015-11-24
3902121,144,0,144,-23.888571666666667,-20.167176666666663,2019-11-06
3902121,175,0,175,-23.07231833333333,-20.882891666666666,2019-12-07
3902121,229,0,229,-23.806401666666662,-24.300463333333333,2020-05-15
5906035,2,2,2,-34.595,26.544,2019-05-20
5906035,49,1,49,-37.787,29.846,2020-09-01
5906035,25,1,25,-40.092,20.079,2020-01-04
5906035,118,0,118,-40.439,55.76,2022-07-25
5906035,77,2,77,-40.724,35.397,2021-06-09
5906035,43,2,43,-37.407,31.658,2020-07-03
5906035,50,1,50,-35.899,28.117,2020-09-11
5906035,66,1,66,-39.779,26.838,2021-02-18
5906035,67,1,67,-39.813,26.348,2021-02-28
5906035,113,1,113,-42.576,44.399,2022-06-05
5906035,15,1,15,-40.895,24.354,2019-09-27
5906035,147,1,147,-43.859,87.1131,2023-05-12
5906035,16,1,16,-40.664,25.849,2019-10-07
5906035,20,2,20,-39.987,25.79,2019-11-16
5906035,4,1,4,-36.532,22.531,2019-06-09
5904659,24,2,24,-56.552,-34.426,2016-09-02
5905197,254,0,254,-30.9003,106.509,2019-02-03
5905197,110,0,110,-38.4163,113.973,2018-01-20
2903392,98,0,98,45.332,151.984,2021-10-20
2903392,97,2,97,45.32,151.855,2021-10-15
7900907,15,0,15,-61.8466796875,58.82847595214844,2021-03-10
7900907,48,0,48,-62.24216166470138,63.01799236450791,2021-11-08
2903463,32,0,32,4.1208,-97.7526,2024-04-02
2903463,13,0,13,4.4286,-97.8183,2023-09-25
2903463,18,0,18,3.2919,-98.7084,2023-11-14
2903463,41,0,41,2.8091,-98.4776,2024-07-02
5905071,47,0,47,-43.838,82.326,2019-03-21
5905071,84,2,84,-38.085,86.035,2020-03-25
5905071,32,2,32,-44.166,73.569,2018-10-22
5905071,23,1,23,-43.124,71.446,2018-07-23
5905071,25,2,25,-43.368,70.961,2018-08-12
6903828,97,0,97,35.48078666666667,21.393861666666663,2024-04-04
