WMO,Cycle,Category,CYCLE_NUMBER
4903365,11,1,11
4903365,12,1,12
4903365,13,1,13
4903365,15,1,15
4903365,16,1,16
4903365,39,1,39
4903365,45,1,45
4903365,48,1,48
4903365,51,1,51
4903365,71,1,71
4903365,75,1,75
4903365,77,1,77
4903365,84,1,84
4903365,85,1,85
4903365,86,1,86
4903365,99,3,99
4903456,30,1,30
4903456,4,0,4
4903456,41,0,41
4903458,15,0,15
4903458,54,0,54
4903459,24,3,24
4903459,25,1,25
4903459,48,0,48
4903459,8,0,8
4903462,26,3,26
4903462,3,2,3
4903463,31,2,31
4903463,46,0,46
4903463,48,3,48
4903463,54,2,54
4903486,23,3,23
4903486,34,2,34
4903489,10,0,10
4903499,1,2,1
4903499,11,2,11
4903499,12,2,12
4903499,15,0,15
4903499,18,0,18
4903499,19,0,19
4903499,2,0,2
4903499,22,0,22
4903499,39,0,39
4903499,4,0,4
4903499,41,0,41
4903499,42,0,42
4903499,43,0,43
4903499,47,0,47
4903499,48,0,48
4903499,49,0,49
4903499,5,0,5
4903499,7,0,7
4903500,12,1,12
4903500,13,0,13
4903500,16,0,16
4903500,17,0,17
4903500,18,0,18
4903500,2,0,2
4903500,22,0,22
4903500,25,0,25
4903500,27,0,27
4903500,28,0,28
4903500,29,0,29
4903500,3,0,3
4903500,30,0,30
4903500,34,0,34
4903500,35,0,35
4903500,4,0,4
4903500,41,0,41
4903500,47,0,47
4903500,5,0,5
4903500,52,0,52
4903500,53,0,53
4903500,55,0,55
4903500,56,0,56
4903500,8,0,8
4903500,9,0,9
4903532,1,0,1
4903532,3,1,3
4903587,10,2,10
4903587,11,0,11
4903587,14,0,14
4903587,2,0,2
4903587,20,0,20
4903587,26,0,26
4903587,3,0,3
4903587,32,0,32
4903587,40,0,40
4903587,5,0,5
4903587,50,2,50
4903587,51,0,51
4903587,52,0,52
4903587,9,0,9
4903657,10,0,10
4903657,11,0,11
4903657,13,0,13
4903657,14,0,14
4903657,15,0,15
4903657,16,2,16
4903657,17,0,17
4903657,18,0,18
4903657,19,2,19
4903657,2,0,2
4903657,21,2,21
4903657,22,0,22
4903657,23,0,23
4903657,3,0,3
4903657,4,0,4
4903657,5,0,5
4903657,6,0,6
4903657,7,0,7
4903657,8,0,8
4903657,9,0,9
4903744,1,2,1
4903744,3,2,3
4903744,6,2,6
5903274,186,2,186
5903586,117,2,117
5903586,121,2,121
5903586,123,2,123
5903586,124,1,124
5903586,126,1,126
5903586,128,1,128
5903586,137,1,137
5903586,154,2,154
5903586,18,0,18
5903586,188,1,188
5903586,51,1,51
5903586,52,2,52
5903586,53,1,53
5903586,54,1,54
5903586,58,1,58
5903592,110,0,110
5903592,111,0,111
5903592,13,1,13
5903592,48,1,48
5903592,67,1,67
5903593,115,0,115
5903593,118,0,118
5903593,125,2,125
5903593,131,0,131
5903593,133,2,133
5903593,134,0,134
5903593,137,3,137
5903593,141,1,141
5903593,144,3,144
5903593,192,3,192
5903593,196,1,196
5903593,212,0,212
5903593,264,2,264
5903593,44,0,44
5903593,47,2,47
5903593,48,2,48
5903593,49,2,49
5903593,51,2,51
5903593,52,2,52
5903593,53,2,53
5903593,54,3,54
5903593,55,2,55
5903593,60,0,60
5903593,61,1,61
5903593,62,0,62
5903593,65,0,65
5903593,68,0,68
5903593,69,0,69
5903593,70,0,70
5903593,75,0,75
5903593,77,0,77
5903593,78,2,78
5903593,83,0,83
5903629,32,4,32
5903629,92,0,92
5903649,11,0,11
5903649,12,0,12
5903649,15,2,15
5903649,171,4,171
5903649,2,0,2
5903649,337,2,337
5903649,339,4,339
5903649,340,4,340
5903649,341,4,341
5903649,342,4,342
5903649,343,2,343
5903649,347,2,347
5903649,350,0,350
5903649,352,4,352
5903649,356,4,356
5903649,357,2,357
5903649,359,4,359
5903649,360,4,360
5903649,361,4,361
5903649,362,4,362
5903649,363,2,363
5903649,364,4,364
5903649,365,2,365
5903649,366,2,366
5903649,367,2,367
5903649,370,2,370
5903649,376,2,376
5903649,377,4,377
5903649,379,4,379
5903649,382,4,382
5903649,389,2,389
5903649,395,2,395
5903649,40,0,40
5903649,55,1,55
5903649,56,1,56
5903679,14,1,14
5903679,314,1,314
5903679,315,2,315
5903679,388,4,388
5903679,393,0,393
5903711,90,4,90
5903718,128,2,128
5903718,129,1,129
5903718,134,1,134
5903718,135,1,135
5903718,136,1,136
5903718,148,2,148
5903718,151,2,151
5903718,43,1,43
5903718,49,1,49
5903718,52,2,52
5903718,63,2,63
5903718,74,0,74
5903887,224,1,224
5903887,227,1,227
5903887,28,2,28
5903887,50,4,50
5904021,208,2,208
5904021,47,2,47
5904105,108,1,108
5904105,20,1,20
5904105,22,1,22
5904105,23,1,23
5904105,27,0,27
5904105,28,0,28
5904105,99,1,99
5904179,106,1,106
5904179,114,1,114
5904179,117,0,117
5904179,122,1,122
5904179,123,1,123
5904179,124,1,124
5904179,129,1,129
5904179,130,1,130
5904179,135,1,135
5904179,136,1,136
5904179,139,0,139
5904179,148,2,148
5904179,149,2,149
5904179,164,1,164
5904179,166,0,166
5904179,171,1,171
5904179,173,2,173
5904179,175,2,175
5904179,176,0,176
5904179,222,0,222
5904179,31,4,31
5904179,32,0,32
5904179,33,0,33
5904179,34,0,34
5904179,38,2,38
