bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
7,43,260,46.7673,-125.5527,2023-10-23,35.849998474121094,1,4903499
6,47,220,46.8162,-125.5455,2023-12-03,51.81999969482422,0,4903499
6,48,220,46.6465,-125.7288,2023-12-13,64.16999816894531,0,4903499
6,49,220,46.5278,-125.9487,2023-12-23,47.880001068115234,0,4903499
7,49,260,46.5278,-125.9487,2023-12-23,47.880001068115234,0,4903499
7,2,260,38.692,-124.496,2022-08-30,40.13999938964844,1,4903500
6,3,220,38.353,-124.681,2022-09-10,4.389999866485596,1,4903500
8,4,300,38.202,-125.012,2022-09-20,26.209999084472656,1,4903500
8,5,300,38.344,-124.924,2022-09-30,30.219999313354492,1,4903500
7,8,260,38.258,-124.094,2022-10-31,46.220001220703125,1,4903500
7,9,260,38.479,-124.05,2022-11-10,18.3700008392334,1,4903500
6,12,220,38.723,-124.871,2022-12-11,52.279998779296875,0,4903500
8,13,300,38.816,-124.925,2022-12-21,116.08999633789062,1,4903500
6,16,220,39.269,-126.253,2023-01-21,65.970001220703125,0,4903500
7,16,260,39.269,-126.253,2023-01-21,65.970001220703125,0,4903500
10,16,380,39.269,-126.253,2023-01-21,65.970001220703125,1,4903500
7,17,260,39.477,-126.786,2023-01-31,77.9800033569336,0,4903500
9,17,340,39.477,-126.786,2023-01-31,77.9800033569336,1,4903500
8,18,300,39.781,-127.286,2023-02-11,92.19000244140625,0,4903500
6,22,220,40.6535,-128.7126,2023-03-24,104.2699966430664,0,4903500
6,25,220,40.3897,-127.3207,2023-04-24,112.3499984741211,0,4903500
10,25,380,40.3897,-127.3207,2023-04-24,112.3499984741211,1,4903500
6,27,220,40.3543,-126.6979,2023-05-14,94.9000015258789,0,4903500
7,27,260,40.3543,-126.6979,2023-05-14,94.9000015258789,0,4903500
7,28,260,40.3209,-126.2508,2023-05-24,98.31999969482422,0,4903500
8,29,300,40.2544,-125.7887,2023-06-04,64.05000305175781,0,4903500
6,30,220,40.5613,-125.7441,2023-06-14,86.0199966430664,0,4903500
9,34,340,41.7099,-125.3389,2023-07-25,52.349998474121094,0,4903500
8,35,300,41.9597,-125.2342,2023-08-04,46.2599983215332,0,4903500
7,41,260,41.7578,-125.0761,2023-10-04,38.33000183105469,1,4903500
7,47,260,41.9858,-125.2554,2023-12-05,65.68999481201172,0,4903500
6,52,220,41.8089,-126.6335,2024-01-25,78.12000274658203,0,4903500
6,53,220,41.745,-126.6285,2024-02-04,72.04000091552734,0,4903500
8,53,300,41.745,-126.6285,2024-02-04,72.04000091552734,0,4903500
7,55,260,41.59,-126.7227,2024-02-24,78.220001220703125,0,4903500
9,56,340,41.4824,-126.6786,2024-03-06,82.02000427246094,1,4903500
15,1,580,59.9345,-19.8661,2023-05-07,28.110000610351562,1,4903532
13,3,500,60.4921,-20.1017,2023-05-27,90.30000305175781,1,4903532
7,4,260,20.3843,-23.0844,2024-04-10,105.91999816894531,1,4903571
12,8,460,19.9164,-22.7396,2024-05-19,47.849998474121094,0,4903571
11,2,420,35.0336,-155.7276,2023-06-21,7.859999656677246,0,4903587
11,3,420,35.05,-155.7268,2023-06-22,8.019999504089355,0,4903587
11,5,420,35.0661,-155.7237,2023-06-24,7.84999942779541,0,4903587
11,9,420,35.073,-155.7038,2023-06-28,7.980000019073486,0,4903587
11,10,420,35.1211,-155.7308,2023-07-03,8.199999809265137,0,4903587
