WMO,Cycle,Category
5904767,90,0
5904767,109,0
5904767,97,0
5904767,140,0
5904767,135,0
5904767,88,0
5904767,139,0
5904767,65,0
5904767,48,0
5904767,96,0
5904767,20,0
5904767,89,0
5904767,86,0
5904767,5,0
5904767,49,0
5904767,24,0
5904767,116,0
5904767,38,0
5904470,83,0
5904470,72,2
5904470,88,0
5904470,54,0
5904470,29,0
5904470,37,0
5904470,27,0
5904470,24,0
5904470,42,0
5904470,45,0
5904470,28,0
5904470,91,0
5904470,41,0
5904470,30,0
5904470,58,0
5904470,59,0
5904470,70,0
5904470,38,0
5904470,80,0
5904470,49,0
2903457,9,0
2903457,23,0
2903457,20,0
2903457,6,0
2903457,18,0
2903457,29,0
2903457,39,0
2903457,30,0
2903457,25,0
2903457,22,0
2903457,33,0
2903457,31,0
2903457,24,0
2903457,35,0
2903457,21,0
2903457,19,0
2903457,27,0
2903457,38,0
2903457,8,0
2903457,14,0
2903464,24,0
2903464,32,1
2903464,3,0
2903464,27,0
2903464,35,0
2903464,29,0
2903464,10,0
2903464,1,0
2903464,33,0
2903464,39,0
2903464,18,0
2903464,16,0
2903464,22,0
2903464,2,0
2903464,9,0
2903464,7,0
2903464,23,0
2903464,37,0
2903464,5,0
2903464,13,0
4903274,105,0
4903274,47,0
4903274,95,0
4903274,111,0
4903274,53,0
4903274,107,0
4903274,101,0
4903274,98,0
4903274,50,0
4903274,110,0
4903274,52,0
4903274,92,0
4903274,37,0
4903274,27,0
4903274,113,0
4903274,64,0
4903274,76,0
4903274,58,0
4903274,15,0
4903274,33,0
5904396,80,0
5904396,109,0
5904396,117,0
5904396,100,2
5904396,96,0
5904396,28,0
5904396,60,0
5904396,130,0
5904396,87,0
5904396,27,0
5904396,7,0
5904396,46,0
5904396,16,2
5904396,64,0
5904396,90,0
5904396,15,2
5904396,127,1
5904396,53,0
5904396,97,0
5904396,126,0
2903451,10,1
2903451,48,0
2903451,17,0
2903451,5,0
2903451,22,0
2903451,37,0
2903451,27,0
2903451,30,0
2903451,31,0
2903451,41,0
2903451,4,0
2903451,11,0
2903451,45,0
2903451,2,0
2903451,23,0
2903451,25,0
2903451,20,0
2903451,9,0
2903451,28,0
2903451,13,0
5904124,199,0
5904124,181,0
5904124,12,0
5904124,95,0
5904124,129,0
5904124,194,0
5904124,172,0
5904124,176,0
5904124,218,0
5904124,169,0
5904124,184,0
5904124,113,0
5904124,90,0
5904124,84,0
5904124,135,0
5904124,205,0
5904124,10,0
5904124,115,0
5904124,154,0
5904124,109,0
4903488,33,1
4903488,32,0
4903488,20,0
4903488,1,0
4903488,36,0
4903488,38,0
4903488,4,0
4903488,31,0
4903488,10,0
4903488,41,0
4903488,40,0
4903488,29,0
4903488,45,0
4903488,34,0
4903488,27,0
4903488,15,0
4903488,43,0
4903488,46,0
4903488,19,0
4903488,11,1
2903469,7,0
2903469,28,0
2903469,29,0
2903469,18,0
2903469,6,0
2903469,19,0
2903469,16,0
2903469,17,0
2903469,9,0
2903469,15,0
2903469,3,0
2903469,8,0
2903469,14,0
2903469,26,0
2903469,23,0
2903469,22,0
2903469,2,0
2903469,21,0
2903469,10,0
2903469,27,0
5903593,59,0
5903593,262,0
5903593,43,0
5903593,259,0
5903593,122,0
5903593,256,0
5903593,195,0
5903593,154,0
5903593,81,0
5903593,257,0
5903593,89,0
5903593,1,0
5903593,57,0
5903593,71,0
5903593,223,0
5903593,35,0
5903593,250,1
5903593,128,0
5903593,158,0
1902384,26,0
1902384,41,0
1902384,36,0
1902384,80,0
1902384,48,0
1902384,57,0
1902384,43,0
1902384,6,0
1902384,74,0
1902384,37,0
1902384,71,0
1902384,4,0
1902384,67,0
1902384,76,0
1902384,7,0
1902384,8,0
1902384,5,0
1902384,42,0
1902384,27,0
1902384,63,0
4903587,26,0
4903587,61,0
4903587,62,0
4903587,64,0
4903587,40,0
4903587,22,0
4903587,33,0
4903587,7,0
4903587,18,0
4903587,1,0
4903587,19,0
4903587,56,0
4903587,20,0
4903587,34,0
4903587,32,0
4903587,47,0
4903587,6,0
4903587,44,0
4903587,12,0
4903587,57,0
5903714,269,0
5903714,9,0
5903714,94,0
5903714,223,0
5903714,159,0
5903714,169,0
5903714,122,0
5903714,15,0
5903714,36,0
5903714,203,0
5903714,206,0
5903714,204,0
5903714,90,0
5903714,183,0
5903714,167,0
5903714,120,0
5903714,242,0
5903714,231,0
5903714,105,0
5903714,56,0
2903468,13,0
2903468,25,0
2903468,34,0
2903468,7,0
